"date","id","session_start","first_use","user_engagement","engagement_time_msec","mean_event_timestamp","mean_event_previous_timestamp","first_open_time","user_first_touch_timestamp","screen_view_count","firebase_screen_class","firebase_previous_class","firebase_event_origin","nro_events","device_category","platform","medium","source","geo_city","geo_country","ads_storage","play"
20250601,1748810849,FALSE,FALSE,FALSE,0,1748810858994451,1748807485707000,FALSE,1661108985514000,0,"SinglePlayerActivity",NA,"app",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,TRUE
20250601,1748810850,FALSE,FALSE,FALSE,0,1748811026901603,1748811022026003,FALSE,1655651894755000,1,"MainActivity","StartActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Maldonado","Uruguay",TRUE,FALSE
20250601,1748810872,FALSE,FALSE,FALSE,7146,1748811029295815,1748811018517001,FALSE,1728845886242000,1,"SinglePlayerActivity","MainActivity","auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748810896,FALSE,FALSE,FALSE,0,1748810897894615,1748198522462001,FALSE,1686516168654000,1,"SplashActivity",NA,"auto",1,"mobile","ANDROID","organic","google-play","Rivera","Uruguay",TRUE,FALSE
20250601,1748810908,TRUE,FALSE,FALSE,0,1748810908335658,1728285510493000,FALSE,1702992653055000,0,NA,NA,"auto",1,"mobile","ANDROID","organic","google-play",NA,"Uruguay",TRUE,FALSE
20250601,1748810962,FALSE,FALSE,TRUE,14321,1748810991047170,1748810974552001,FALSE,1748810962922000,0,"SFAuthenticationViewController",NA,"auto",1,"tablet","IOS",NA,NA,"Montevideo","Uruguay",TRUE,FALSE
20250601,1748810991,FALSE,FALSE,FALSE,1206,1748814039220994,1748814036468044,FALSE,1744578139733000,1,"ZappingActivity","ChannelActivity","auto",1,"smart tv","ANDROID","(none)","(direct)","Maldonado","Uruguay",TRUE,FALSE
20250601,1748811076,FALSE,FALSE,FALSE,0,1748811239204130,1742602131074000,FALSE,1648169013412000,0,"BitMovinPlayerViewController",NA,"app",1,"mobile","IOS","(none)","(direct)",NA,"Uruguay",TRUE,TRUE
20250601,1748811102,FALSE,FALSE,TRUE,1749,1748811104892208,1748460081286002,FALSE,1721058304807000,1,"SplashActivity",NA,"auto",2,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811104,FALSE,FALSE,FALSE,0,1748811105906134,1748715109587002,FALSE,1663857375235000,1,"SplashActivity",NA,"auto",1,"mobile","ANDROID","(none)","(direct)","Maldonado","Uruguay",TRUE,FALSE
20250601,1748811125,TRUE,FALSE,FALSE,0,1748811126344523,1748134774919000,FALSE,1706313691497000,0,NA,NA,"auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811149,FALSE,FALSE,FALSE,19582,1748811387163970,1748811367328001,FALSE,1732318152228000,1,"ChannelActivity","MainActivity","auto",1,"smart tv","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811153,FALSE,FALSE,FALSE,0,1748811161166082,1745370057391000,FALSE,1688423471162000,0,"BitMovinPlayerViewController",NA,"app",1,"mobile","IOS","(none)","(direct)","Paysandu","Uruguay",TRUE,TRUE
20250601,1748811160,FALSE,FALSE,FALSE,6349945,1748818015672503,1748811664403000,FALSE,1748035184169000,1,"ChannelDetailsActivity","SinglePlayerActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811167,FALSE,FALSE,FALSE,0,1748811168430385,1746226562998001,FALSE,1700139699294000,1,"SplashActivity",NA,"auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
